-1435.4987291601992 + 0.0im,8.995520407967588 + 0.0im,-1.839732175183793 + 0.0im,7.988487585070263 + 0.0im,-0.0 + 0.0im,-1745.9622888858414 + 0.0im,-29.056204391989272 + 0.0im,6.143315363773515 + 0.0im,-29.056204391989272 + 0.0im,864.0859670949282 + 0.0im,58.19551213126001 + 0.0im,1728.1719341898563 + 0.0im,-0.0 + 0.0im,207.83577866345738 + 0.0im,1295.854322433863 + 0.0im,10.519008867387974 + 0.0im,1684.897051662804 + 0.0im,-13.677036623830416 + 0.0im,-24.89688150807617 + 0.0im,-58.00496841114081 + 0.0im
14.476803418966412 + 0.0im,-1439.0452534321953 + 0.0im,7.945786101032441 + 0.0im,2.001368342556643 + 0.0im,-0.0 + 0.0im,-29.056204391989272 + 0.0im,-1758.248919613388 + 0.0im,29.056204391989272 + 0.0im,6.143315363773515 + 0.0im,58.19551213126001 + 0.0im,-864.0859670949282 + 0.0im,-116.39102426252002 + 0.0im,-0.0 + 0.0im,-773.7750031509352 + 0.0im,-10.519008867387974 + 0.0im,-1294.4797793881003 + 0.0im,-13.677036623830416 + 0.0im,1683.1098418776494 + 0.0im,-58.47469006052557 + 0.0im,23.698322652328642 + 0.0im
36.126803842195216 + 0.0im,50.84819379977721 + 0.0im,-872.4320869097551 + 0.0im,5.4812830109989354 + 0.0im,-0.0 + 0.0im,2020.024428114664 + 0.0im,136.04706081157062 + 0.0im,2020.024428114664 + 0.0im,-136.04706081157062 + 0.0im,-4096.0 + 0.0im,-0.0 + 0.0im,28.723177037942346 + 0.0im,-0.0 + 0.0im,-242.1563396151364 + 0.0im,-21.701283776909566 + 0.0im,50.96926867562358 + 0.0im,-28.216465709152992 + 0.0im,-66.27131540192897 + 0.0im,8120.535180436594 + 0.0im,1.5554574083940962e-16 + 0.0im
50.649018779005026 + 0.0im,-34.879165626444134 + 0.0im,-5.4812830109989354 + 0.0im,-872.4320869097551 + 0.0im,-0.0 + 0.0im,136.04706081157062 + 0.0im,-2020.024428114664 + 0.0im,-136.04706081157062 + 0.0im,-2020.024428114664 + 0.0im,-0.0 + 0.0im,-4096.0 + 0.0im,135.85278524413945 + 0.0im,-0.0 + 0.0im,36.72994850382532 + 0.0im,-50.55983736567619 + 0.0im,-20.65656394549342 + 0.0im,-65.73896419929292 + 0.0im,26.85809900597246 + 0.0im,-1.5554574083940962e-16 + 0.0im,8120.535180436594 + 0.0im
11.090647760323606 + 0.0im,-60.93341035603861 + 0.0im,4.606927275505462 + 0.0im,-7.2423648870440775 + 0.0im,-21.399999999999995 + 0.0im,2020.024428114664 + 0.0im,-136.04706081157062 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,14.361588518971173 + 0.0im,67.92639262206973 + 0.0im,-4096.0 + 0.0im,-0.0 + 0.0im,-33.33064218907594 + 0.0im,-21.178923861201493 + 0.0im,-50.764553020649885 + 0.0im,-27.537282357562727 + 0.0im,66.00513980061095 + 0.0im,4.309106362877077 + 0.0im,65.95286801873681 + 0.0im
41.51466910324235 + 0.0im,-1.2049111610455243 + 0.0im,-21.71144990274722 + 0.0im,-0.42836729674296936 + 0.0im,-48.16113539015445 + 0.0im,0.0 + 0.0im,-314.1592653589793 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,-0.445490843427855 + 0.0im,-7.326667557991093 + 0.0im,-2.2865392870970042e-20 + 0.0im,-9.526287294228439 + 0.0im,2.9730064843284394e-20 + 0.0im,-20.148442393605993 + 0.0im,3.3580737322676653 + 0.0im
2.3184346911156632 + 0.0im,41.750099929578674 + 0.0im,-0.42836729674296914 + 0.0im,21.71144990274722 + 0.0im,3.2436146929638534 + 0.0im,314.1592653589793 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,4.4120945065853885 + 0.0im,-1.1747411774863934e-19 + 0.0im,7.326667557991093 + 0.0im,-1.527423192675066e-19 + 0.0im,-9.526287294228439 + 0.0im,3.3580737322676653 + 0.0im,20.148442393605993 + 0.0im
-0.11771541316816277 + 0.0im,-0.5567617650350696 + 0.0im,-22.226571961707425 + 0.0im,3.519099650504187 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,-942.4777960769379 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.644571035408451 + 0.0im,7.750923701802687e-21 + 0.0im,-4.7304362438834646e-20 + 0.0im,1.0077914057733307e-20 + 0.0im,6.15061272121111e-20 + 0.0im,-20.148442393605993 + 0.0im,-3.3580737322676653 + 0.0im
0.5567617650350696 + 0.0im,-0.11771541316816277 + 0.0im,3.519099650504187 + 0.0im,22.226571961707425 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,942.4777960769379 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.25261084880880924 + 0.0im,-4.7304362438834646e-20 + 0.0im,-7.750923701802687e-21 + 0.0im,-6.15061272121111e-20 + 0.0im,1.0077914057733307e-20 + 0.0im,-3.3580737322676653 + 0.0im,20.148442393605993 + 0.0im
-8.594571725085668 + 0.0im,-4.298747159739865 + 0.0im,50.88745982767926 + 0.0im,1.5071469758987428 + 0.0im,-0.342406952833442 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,628.3185307179587 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,-1.2632796961597912 + 0.0im,-7.512461899488011 + 0.0im,-1.2520769832480017 + 0.0im,-9.767861005705385 + 0.0im,1.6279768342842307 + 0.0im,-19.650141485489076 + 0.0im,-3.763909332383787e-19 + 0.0im
-4.298747159739865 + 0.0im,8.594571725085668 + 0.0im,-1.5071469758987428 + 0.0im,50.88745982767926 + 0.0im,-1.6194914012448722 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,-628.3185307179587 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,-4.436748911742773 + 0.0im,1.2520769832480017 + 0.0im,-7.512461899488011 + 0.0im,1.6279768342842307 + 0.0im,9.767861005705385 + 0.0im,3.763909332383787e-19 + 0.0im,-19.650141485489076 + 0.0im
-7.992456205226742 + 0.0im,0.6860540405863046 + 0.0im,-0.171203476416721 + 0.0im,-0.8097457006224361 + 0.0im,48.82812500000001 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,-0.4170987894097738 + 0.0im,-7.512461899488011 + 0.0im,1.2520769832480017 + 0.0im,-9.767861005705385 + 0.0im,-1.6279768342842307 + 0.0im,2.0787997568899474e-20 + 0.0im,1.268704233468492e-19 + 0.0im
-0.0 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,-12.5664 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im
0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,314.1592653589793 + 0.0im,-87.96459430051422 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im
-31.4159 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im
-0.0 + 0.0im,31.4159 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im
-575.0419400000001 + 0.0im,-5.006685496794963e-18 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,52.276540000000004 + 0.0im,522.7654 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im
5.006685496794963e-18 + 0.0im,-575.0419400000001 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,-313.65924 + 0.0im,-0.0 + 0.0im,-522.7654 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im
-0.0 + 0.0im,-0.0 + 0.0im,-48.1914 + 0.0im,9.230878074572065e-19 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,2.5037470603261614e-19 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im
-0.0 + 0.0im,-0.0 + 0.0im,-9.230878074572065e-19 + 0.0im,-48.1914 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,-4.102444559588683e-20 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im,-0.0 + 0.0im
